framework,mode,test,target_rps,actual_rps,avg_ms,med_ms,p95_ms,failed_rate,avg_rss_mb,max_rss_mb
fastify,cluster,concurrency,500,53584.32,8.33,8.99,11.38,0.0000,0.00,0.00
fastify,single,concurrency,500,31623.55,14.18,14.16,20.74,0.0000,0.00,0.00
nestjs,cluster,concurrency,500,23282.52,19.25,19.93,32.18,0.0000,0.00,0.00
express,single,concurrency,500,9293.39,48.32,49.48,72.21,0.0000,0.00,0.00
express,cluster,concurrency,500,8824.72,50.89,49.93,71.00,0.0000,0.00,0.00
nestjs,single,concurrency,500,8613.80,52.13,52.94,75.16,0.0000,0.00,0.00
fastify,cluster,static,1000,1000.01,0.01,0.00,0.00,0.0000,0.00,0.00
fastify,single,static,1000,1000.00,0.02,0.00,0.00,0.0000,0.00,0.00
express,single,static,1000,999.99,0.01,0.00,0.00,0.0000,0.00,0.00
nestjs,single,static,1000,999.98,0.02,0.00,0.00,0.0000,0.00,0.00
nestjs,cluster,static,1000,999.96,0.04,0.00,0.50,0.0000,0.00,0.00
express,cluster,static,1000,999.95,0.03,0.00,0.50,0.0000,0.00,0.00
express,single,io-simulate,500,492.38,300.23,300.04,300.97,0.0000,0.00,0.00
nestjs,single,io-simulate,500,492.24,300.65,300.24,302.12,0.0000,0.00,0.00
nestjs,cluster,io-simulate,500,492.20,302.65,300.51,312.52,0.0000,0.00,0.00
express,cluster,io-simulate,500,492.16,300.40,300.11,301.94,0.0000,0.00,0.00
fastify,single,io-simulate,500,492.16,300.49,300.13,301.94,0.0000,0.00,0.00
fastify,cluster,io-simulate,500,492.16,302.19,300.15,312.15,0.0000,0.00,0.00
fastify,single,static,100,100.05,0.30,0.50,0.58,0.0000,0.00,0.00
fastify,cluster,static,100,100.05,0.25,0.00,0.95,0.0000,0.00,0.00
express,cluster,static,100,100.04,0.38,0.51,0.91,0.0000,0.00,0.00
express,cluster,hash,100,100.04,0.77,0.64,1.52,0.0000,0.00,0.00
nestjs,single,hash,100,100.00,1.02,1.02,2.03,0.0000,0.00,0.00
express,single,static,100,100.00,0.26,0.00,0.76,0.0000,0.00,0.00
fastify,single,hash,100,100.00,0.77,0.65,1.34,0.0000,0.00,0.00
nestjs,cluster,hash,100,100.00,1.10,1.05,1.80,0.0000,0.00,0.00
nestjs,single,static,100,100.00,0.57,0.53,1.25,0.0000,0.00,0.00
nestjs,cluster,static,100,100.00,0.53,0.52,1.10,0.0000,0.00,0.00
express,single,hash,100,100.00,1.18,1.06,2.50,0.0000,0.00,0.00
fastify,cluster,hash,100,100.00,0.79,0.66,1.43,0.0000,0.00,0.00
express,workers,hash,100,99.99,0.94,0.73,1.87,0.0000,0.00,0.00
nestjs,workers,hash,100,99.94,22.37,22.23,23.88,0.0000,0.00,0.00
fastify,workers,hash,100,99.94,24.85,24.01,31.00,0.0000,0.00,0.00
nestjs,single,io-simulate,100,98.49,301.08,300.61,304.45,0.0000,0.00,0.00
